Sr.No,Name,Ratings,Total_Reviews,,Company_Type,Locations,How_Old,Workforce
1,TCS,3.9,(45.6k Reviews),,Public,"Mumbai,Maharashtra + 257 more",54 years old,1 Lakh+ Employees (India)
2,Accenture,4.2,(29.8k Reviews),,Public,Dublin + 137 more,33 years old,1 Lakh+ Employees (India)
3,Cognizant,4,(27k Reviews),,Private,Teaneck. New Jersey. + 89 more,28 years old,1 Lakh+ Employees (India)
4,ICICI Bank,4,(34k Reviews),,Public,"Mumbai,Maharashtra + 1024 more",28 years old,50k-1 Lakh Employees (India)
5,Wipro,3.9,(25.5k Reviews),,Public,"Bangalore/Bengaluru,Karnataka + 261 more",77 years old,1 Lakh+ Employees (India)
6,HDFC Bank,4,(36.7k Reviews),,Public,"Mumbai,Maharashtra + 1165 more",28 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(22k Reviews),,Public,Paris + 75 more,55 years old,1 Lakh+ Employees (India)
8,HCL Technologies,3.9,(21.6k Reviews),,Public,"Noida,Uttar Pradesh + 163 more",46 years old,1 Lakh+ Employees (India)
9,Infosys,4,(25.8k Reviews),,Public,"Bengaluru/Bangalore,Karnataka + 120 more",41 years old,1 Lakh+ Employees (India)
10,Tech Mahindra,3.8,(19.9k Reviews),,Public,"Pune,Maharashtra + 198 more",36 years old,50k-1 Lakh Employees (India)
11,Genpact,4,(18k Reviews),,Public,"New York,New York + 62 more",25 years old,50k-1 Lakh Employees (India)
12,Axis Bank,3.9,(17.7k Reviews),,Public,"Mumbai,Maharashtra + 1025 more",29 years old,50k-1 Lakh Employees (India)
13,IBM,4.2,(14.8k Reviews),,Public,"Armonk,New York + 116 more",111 years old,50k-1 Lakh Employees (India)
14,Amazon,4.2,(14.9k Reviews),,Public,"Seattle,Washington + 335 more",28 years old,1 Lakh+ Employees (India)
15,Concentrix Corpo...,4.1,(14.3k Reviews),,Public,"Fremont,California + 66 more",39 years old,10k-50k Employees (India)
16,Larsen & Toubro ...,4.1,(20.1k Reviews),,Public,"Mumbai,Maharashtra + 515 more",84 years old,10k-50k Employees (India)
17,Reliance jio,4,(13.7k Reviews),,Public,"Navi Mumbai,Maharashtra + 933 more",15 years old,10k-50k Employees (India)
18,Vodafone Idea,4.3,(13.2k Reviews),,Public,"Gandhinagar,Gujrat + 556 more",4 years old,10k-50k Employees (India)
19,HDB Financial Se...,4,(12.4k Reviews),,Private,"Ahmedabad,Gujrat + 740 more",15 years old,1 Lakh+ Employees (India)
20,Teleperformance,3.6,(10.1k Reviews),,Private,Paris + 116 more,44 years old,50k-1 Lakh Employees (India)
21,Kotak Mahindra B...,3.9,(12.9k Reviews),,Public,"Mumbai,Maharashtra + 464 more",19 years old,10k-50k Employees (India)
22,Reliance Industr...,4.1,(39.3k Reviews),,Public,"Navi Mumbai,Maharashtra + 446 more",49 years old,1 Lakh+ Employees (India)
23,Bharti Airtel,4.1,(12.1k Reviews),,Public,"Gurgaon/Gurugram,Haryana + 481 more",27 years old,5k-10k Employees (India)
24,Deloitte,4.1,(8.7k Reviews),,Private,"New York,New York + 131 more",177 years old,10k-50k Employees (India)
25,Tata Motors,4.1,(8.5k Reviews),,Public,"Pune,Maharashtra + 380 more",77 years old,50k-1 Lakh Employees (India)
26,Reliance Retail,4.1,(13.5k Reviews),,Private,"Navi Mumbai,Maharashtra + 564 more",16 years old,1 Lakh+ Employees (India)
